CODIGO_VER,COD_DPTO,DPTOMPIO,NOM_DEP,NOMB_MPIO,NOMBRE_VER,VIGENCIA,AREA_HA
05001001,05,05001,ANTIOQUIA,MEDELLÍN,AGUAS FRIAS,2017,357.743183791
05001002,05,05001,ANTIOQUIA,MEDELLÍN,ALTAVISTA CENTRAL,2006,319.196637918
05001003,05,05001,ANTIOQUIA,MEDELLÍN,BARRO BLANCO,2006,285.548782053
05001004,05,05001,ANTIOQUIA,MEDELLÍN,BOQUERON,2006,556.129951222
05001005,05,05001,ANTIOQUIA,MEDELLÍN,BUGA PATIO BONITO,2006,401.61156073
05001006,05,05001,ANTIOQUIA,MEDELLÍN,EL ASTILLERO,2006,1430.34977761
05001007,05,05001,ANTIOQUIA,MEDELLÍN,EL CARMELO,2006,100.920816448
05001008,05,05001,ANTIOQUIA,MEDELLÍN,EL CERRO,2006,188.454124754
05001009,05,05001,ANTIOQUIA,MEDELLÍN,EL CORAZÓN EL MORRO,2006,670.297453626
05001010,05,05001,ANTIOQUIA,MEDELLÍN,EL JARDÍN,2006,294.293427872
05001011,05,05001,ANTIOQUIA,MEDELLÍN,EL LLANO,2006,118.6804176
05001012,05,05001,ANTIOQUIA,MEDELLÍN,EL LLANO (SANTA ELENA),2006,201.969673262
05001013,05,05001,ANTIOQUIA,MEDELLÍN,EL PATIO,2006,305.949262081
05001014,05,05001,ANTIOQUIA,MEDELLÍN,EL PICACHO,2006,155.934591184
05001015,05,05001,ANTIOQUIA,MEDELLÍN,EL PLACER,2006,229.244796491
05001016,05,05001,ANTIOQUIA,MEDELLÍN,EL PLAN,2006,587.708785529
05001017,05,05001,ANTIOQUIA,MEDELLÍN,EL SALADO,2006,731.257859591
05001018,05,05001,ANTIOQUIA,MEDELLÍN,EL UVITO,2006,174.225683662
05001019,05,05001,ANTIOQUIA,MEDELLÍN,EL YOLOMBO,2006,416.134581319
05001020,05,05001,ANTIOQUIA,MEDELLÍN,LA ALDEA,2006,196.30893453
05001021,05,05001,ANTIOQUIA,MEDELLÍN,LA CUCHILLA,2006,198.641675029
05001022,05,05001,ANTIOQUIA,MEDELLÍN,LA ESPERANZA,2006,191.653514787
05001023,05,05001,ANTIOQUIA,MEDELLÍN,LA FLORIDA,2006,219.419622424
05001024,05,05001,ANTIOQUIA,MEDELLÍN,LA FRISOLA,2006,880.910788698
05001025,05,05001,ANTIOQUIA,MEDELLÍN,LA ILUSIÓN,2006,306.434049799
05001026,05,05001,ANTIOQUIA,MEDELLÍN,LA LOMA,2006,637.951453695
05001027,05,05001,ANTIOQUIA,MEDELLÍN,LA PALMA,2006,705.005134335
05001028,05,05001,ANTIOQUIA,MEDELLÍN,LA PLAYAS,2006,125.744745217
05001029,05,05001,ANTIOQUIA,MEDELLÍN,LA SUCIA,2006,269.557853696
05001030,05,05001,ANTIOQUIA,MEDELLÍN,LA SUIZA,2006,1322.62204834
05001031,05,05001,ANTIOQUIA,MEDELLÍN,LA VERDE,2017,649.650202809
05001032,05,05001,ANTIOQUIA,MEDELLÍN,LAS PALMAS,2006,1249.2065577711
05001033,05,05001,ANTIOQUIA,MEDELLÍN,MAZO,2006,497.203853185
05001034,05,05001,ANTIOQUIA,MEDELLÍN,MEDIA LUNA,2006,902.173873574
05001035,05,05001,ANTIOQUIA,MEDELLÍN,MONTANITA,2006,232.226068961
05001036,05,05001,ANTIOQUIA,MEDELLÍN,NARANJAL,2006,197.48027928
05001037,05,05001,ANTIOQUIA,MEDELLÍN,PAJARITO,2017,100.013558972
05001038,05,05001,ANTIOQUIA,MEDELLÍN,PEDREGAL ALTO,2006,221.8484148
05001039,05,05001,ANTIOQUIA,MEDELLÍN,PIEDRA GORDA,2006,295.030146923
05001040,05,05001,ANTIOQUIA,MEDELLÍN,PIEDRAS BLANCAS-MATASANO,2006,2157.56010605
05001041,05,05001,ANTIOQUIA,MEDELLÍN,POTRERA MISERENGA,2006,525.734795744
05001042,05,05001,ANTIOQUIA,MEDELLÍN,POTRERITO,2006,413.105181928
05001043,05,05001,ANTIOQUIA,MEDELLÍN,SAN JOSÉ,2017,29.3007842261
05001044,05,05001,ANTIOQUIA,MEDELLÍN,SAN JOSÉ DE LA MONTAÑA,2006,379.364507241
05001045,05,05001,ANTIOQUIA,MEDELLÍN,SAN JOSÉ DE MANZANILLO,2006,202.751983558
05001046,05,05001,ANTIOQUIA,MEDELLÍN,SAN PABLO,2017,331.185429685
05001047,05,05001,ANTIOQUIA,MEDELLÍN,SANTA ELENEA SECTOR CENTRAL,2006,328.728653657
05001048,05,05001,ANTIOQUIA,MEDELLÍN,SECTOR CENTRAL,2006,949.668046931
05001049,05,05001,ANTIOQUIA,MEDELLÍN,TRAVESIAS,2006,119.509058223
05001050,05,05001,ANTIOQUIA,MEDELLÍN,URQUITA,2006,553.4841872
05001051,05,05001,ANTIOQUIA,MEDELLÍN,VOLCANA GUAYABAL,2006,1088.35265824
05001052,05,05001,ANTIOQUIA,MEDELLÍN,YARUMALITO,2006,1741.15213927
05002001,05,05002,ANTIOQUIA,ABEJORRAL,VEREDA ALTAMIRA,2007,215.701816811
05002002,05,05002,ANTIOQUIA,ABEJORRAL,VEREDA ALTO BONITO,2007,181.703566237
05002003,05,05002,ANTIOQUIA,ABEJORRAL,VEREDA ALTO DE LETRAS,2007,253.136187515
05002004,05,05002,ANTIOQUIA,ABEJORRAL,VEREDA AURES ARRIBA,2007,2030.30838924
05002005,05,05002,ANTIOQUIA,ABEJORRAL,VEREDA AURES EL SILENCIO,2007,588.828639578
05002006,05,05002,ANTIOQUIA,ABEJORRAL,CAÑAVERAL,2007,737.021009905
05002007,05,05002,ANTIOQUIA,ABEJORRAL,CARRIZALES,2007,875.901898917
05002008,05,05002,ANTIOQUIA,ABEJORRAL,CHAGUAL,2007,967.304180358
05002009,05,05002,ANTIOQUIA,ABEJORRAL,COMBIA,2007,341.058981181
05002010,05,05002,ANTIOQUIA,ABEJORRAL,CORINTO,2007,675.302142503
05002011,05,05002,ANTIOQUIA,ABEJORRAL,EL BUEY,2007,756.2929375
05002012,05,05002,ANTIOQUIA,ABEJORRAL,EL BUEY COLMENAS,2007,1092.66026057
05002013,05,05002,ANTIOQUIA,ABEJORRAL,EL CARMELO,2007,308.391547228
05002014,05,05002,ANTIOQUIA,ABEJORRAL,EL CARRIZAL,2007,52.1250785061
05002015,05,05002,ANTIOQUIA,ABEJORRAL,EL CHAGUALO,2007,939.910349274
05002016,05,05002,ANTIOQUIA,ABEJORRAL,EL ERIZO,2007,1440.71449686
05002017,05,05002,ANTIOQUIA,ABEJORRAL,EL GRANADILLO,2007,588.86261602
05002018,05,05002,ANTIOQUIA,ABEJORRAL,EL GUAICO,2007,1023.40540131
05002019,05,05002,ANTIOQUIA,ABEJORRAL,EL MORRON,2007,422.192762576
05002020,05,05002,ANTIOQUIA,ABEJORRAL,EL VERSUBIO,2007,1271.74321217
05002021,05,05002,ANTIOQUIA,ABEJORRAL,EL VOLCAN,2007,401.312735886
05002022,05,05002,ANTIOQUIA,ABEJORRAL,GUAYABAL,2007,1879.56119764
05002023,05,05002,ANTIOQUIA,ABEJORRAL,GUAYAQUIL,2007,835.382750882
05002024,05,05002,ANTIOQUIA,ABEJORRAL,LA BETULIA,2007,427.632354649
05002025,05,05002,ANTIOQUIA,ABEJORRAL,LA CASCADA,2007,846.380792137
05002026,05,05002,ANTIOQUIA,ABEJORRAL,LA CIRCITA,2007,552.926308829
05002027,05,05002,ANTIOQUIA,ABEJORRAL,LA CORDILLERA,2007,1073.87464627
05002028,05,05002,ANTIOQUIA,ABEJORRAL,LA ESPERANZA,2007,501.128552765
05002029,05,05002,ANTIOQUIA,ABEJORRAL,LA FLORIDA,2007,254.825854755
05002030,05,05002,ANTIOQUIA,ABEJORRAL,LA LABOR,2007,2136.64046331
05002031,05,05002,ANTIOQUIA,ABEJORRAL,LA LOMA,2007,482.107482924
05002032,05,05002,ANTIOQUIA,ABEJORRAL,LA NUBIA,2007,214.386205493
05002033,05,05002,ANTIOQUIA,ABEJORRAL,LA PEÑA,2007,557.718177263
05002034,05,05002,ANTIOQUIA,ABEJORRAL,LA PERDIDA,2007,617.661129744
05002035,05,05002,ANTIOQUIA,ABEJORRAL,LA POLKA,2007,484.574393437
05002036,05,05002,ANTIOQUIA,ABEJORRAL,LA PRIMAVERA,2007,328.972804152
05002037,05,05002,ANTIOQUIA,ABEJORRAL,LA SALTADERA,2007,552.239841431
05002038,05,05002,ANTIOQUIA,ABEJORRAL,LA SAMARIA,2007,294.054300202
05002039,05,05002,ANTIOQUIA,ABEJORRAL,LA VICTORIA,2007,1577.62154559
05002040,05,05002,ANTIOQUIA,ABEJORRAL,LLANADAS,2007,1880.68529143
05002041,05,05002,ANTIOQUIA,ABEJORRAL,LLANO GRANDE,2007,824.40325876
05002042,05,05002,ANTIOQUIA,ABEJORRAL,LOMA PARTE BAJA,2007,529.63970721
05002043,05,05002,ANTIOQUIA,ABEJORRAL,LOS RASTROJOS,2007,343.475574545
05002044,05,05002,ANTIOQUIA,ABEJORRAL,MATA DE GUADUA,2007,120.635435546
05002045,05,05002,ANTIOQUIA,ABEJORRAL,MONTEL ORO - EL REPOSO,2007,786.33933009
05002046,05,05002,ANTIOQUIA,ABEJORRAL,MORRO GORDO,2007,841.54406756
05002047,05,05002,ANTIOQUIA,ABEJORRAL,NARANJAL,2007,1385.4177412
05002048,05,05002,ANTIOQUIA,ABEJORRAL,PANTANO NEGRO,2007,559.932687778
05002049,05,05002,ANTIOQUIA,ABEJORRAL,PIEDRA CANELA,2007,2102.80923631
05002050,05,05002,ANTIOQUIA,ABEJORRAL,PORTUGAL,2007,812.758002985
05002051,05,05002,ANTIOQUIA,ABEJORRAL,PURINA,2007,1336.23713053
05002052,05,05002,ANTIOQUIA,ABEJORRAL,VEREDA QUEBRADANEGRA,2007,2126.19066117
05002053,05,05002,ANTIOQUIA,ABEJORRAL,VEREDA QUEBRADONA ABAJO,2007,619.49809505
05002054,05,05002,ANTIOQUIA,ABEJORRAL,VEREDA QUEBRADONA ARRIBA,2007,795.231350498
05002055,05,05002,ANTIOQUIA,ABEJORRAL,SAN BARTOLO,2007,1438.59196782
05002056,05,05002,ANTIOQUIA,ABEJORRAL,SAN BERNARDO,2007,750.823641726
05002057,05,05002,ANTIOQUIA,ABEJORRAL,SAN JOSE,2007,162.435422208
05002058,05,05002,ANTIOQUIA,ABEJORRAL,SAN LUIS,2007,469.272414084
05002059,05,05002,ANTIOQUIA,ABEJORRAL,SAN PEDRO,2007,512.172388819
05002060,05,05002,ANTIOQUIA,ABEJORRAL,SAN VICENTE,2007,429.64842697
05002061,05,05002,ANTIOQUIA,ABEJORRAL,SANTA  ANA,2007,266.001917507
05002062,05,05002,ANTIOQUIA,ABEJORRAL,SANTA CATALINA,2007,1045.1647933900001
05002063,05,05002,ANTIOQUIA,ABEJORRAL,SOTAYAC,2007,69.3740517776
05002064,05,05002,ANTIOQUIA,ABEJORRAL,VEREDA YARUMAL,2007,1599.88246072
05004001,05,05004,ANTIOQUIA,ABRIAQUÍ,CORCOBADO,2007,6506.92768738
05004002,05,05004,ANTIOQUIA,ABRIAQUÍ,EL CEJEN,2007,601.284956156
05004003,05,05004,ANTIOQUIA,ABRIAQUÍ,LA ANTIGUA,2007,715.915993095
05004004,05,05004,ANTIOQUIA,ABRIAQUÍ,LA NANCUY,2007,2836.58660202
05004005,05,05004,ANTIOQUIA,ABRIAQUÍ,LA TIMOTEA,2007,564.183585111
05004006,05,05004,ANTIOQUIA,ABRIAQUÍ,LAS JUNTAS,2007,2544.30621754
05004007,05,05004,ANTIOQUIA,ABRIAQUÍ,MONOS,2007,2393.8759631
